codigo,descripcion,unidad,Saldoin-Cantidad,Saldoin-Valor,ent-Cantidad,ent-Valor,sal-Cantidad,sal-Valor,sadout-Cantidad,saldout-Valor,SUB-CATEGORIA,tipo,estado_mat,descripcion_material
04-26-64,BLANCO  0010  2/18,KILOS,0.0,0.0,190.5,190.5,190.5,190.5,0.0,0.0,2/18,HB,,
04-26-65,BLANCO  0010  2/18,KILOS,0.0,0.0,199.0,199.0,199.0,199.0,0.0,0.0,2/18,HB,,
04-26-67,PLOMO PLATA  8009  2/18,KILOS,0.0,0.0,212.0,212.0,212.0,212.0,0.0,0.0,2/18,HB,,
04-26-69,CAFE ROJISO  6013  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
04-26-71,VERDE COCA  4036  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
04-26-72,SALMON  3003  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
04-26-74,CLAVEL  3034  2/18,KILOS,0.0,0.0,215.0,215.0,215.0,215.0,0.0,0.0,2/18,HB,,
05-26-02,V. LECHUGA  4007  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
05-26-04,NEGRO  5000  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
05-26-06,VERDE LECHUGA  4007  2/18,KILOS,0.0,0.0,214.5,214.5,214.5,214.5,0.0,0.0,2/18,HB,,
05-26-08,TURQUEZA  7003  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
05-26-11,CICLAN BAJO  2011  2/18,KILOS,0.0,0.0,215.0,215.0,215.0,215.0,0.0,0.0,2/18,HB,,
05-26-12,CARTON AMARILLO  6004  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
05-26-14,AZUL PETROLEO  7009  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
05-26-16,VERDE BANDERA  4010  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
05-26-18,GALLETA  6010  2/18,KILOS,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,2/18,HB,,
05-26-19,NEGRO  5000  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
05-26-22,AZUL PASTEL  7012  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
05-26-23,NEGRO  5000  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
05-26-28,VERDE COCA  4036  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
05-26-29,VICUÑA  6026  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
05-26-32,KANTUTA  3045  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
05-26-35,BLANCO  0010  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
05-26-37,CICLAN OSC.  2005  2/18,KILOS,0.0,0.0,215.0,215.0,215.0,215.0,0.0,0.0,2/18,HB,,
05-26-38,BLANCO  0010  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
05-26-40,AM. ORO  0016  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
05-26-43,PLOMO PLATA  8009  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
05-26-44,FUCSIA  3039  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
05-26-47,VERDE BANDERA  4010  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
05-26-48,BLANCO  0010  2/18,KILOS,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,2/18,HB,,
05-26-50,FLOR DE PAPA  7089  2/18,KILOS,0.0,0.0,212.0,212.0,212.0,212.0,0.0,0.0,2/18,HB,,
05-26-51,GUINDO  3027  2/18,KILOS,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,2/18,HB,,
05-26-52,CICLAN  2004  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
05-26-54,SANDIA  3004  2/18,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,
06-26-01,ROJO  3006  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
06-26-02,PLOMO  8010  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
06-26-03,CONFITE  2008  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
06-26-05,BLANCO  0010  2/18,KILOS,0.0,0.0,198.5,198.5,198.5,198.5,0.0,0.0,2/18,HB,,
06-26-06,SANDIA  3004  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
06-26-09,NARANJA  1023  2/18,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,
06-26-10,TURQUEZA  7003  2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,2/18,HB,,
06-26-12,GUINDO  3027  2/18,KILOS,0.0,0.0,199.5,199.5,199.5,199.5,0.0,0.0,2/18,HB,,
06-26-15,BIEGE OSC.  6021  2/18,KILOS,0.0,0.0,203.5,203.5,203.5,203.5,0.0,0.0,2/18,HB,,
06-26-19,VERDE PACAY  4035  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
06-26-20,VICUÑA  6011  2/18,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,
